==============================================
        支撑轴力迭代中间数据
        导出时间：2023/3/13 11:04:38
==============================================


LC  Iter   Obj(mm)     F1 (N)        F2 (N)        F3 (N)        F4 (N)        F5 (N)        F6 (N)      maxM (N*m)    minM (N*m)     maxQ (N)      minQ (N)
 6    33    8.7638  -1.9608e+005   7.1615e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0042e+006  -7.7019e+005   4.6037e+005  -2.5130e+005
 6    34    8.7638  -1.9608e+005   7.1615e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0042e+006  -7.7019e+005   4.6037e+005  -2.5130e+005
 6    35    8.7638  -1.9608e+005   7.1615e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0042e+006  -7.7019e+005   4.6037e+005  -2.5130e+005
 6    36    8.7638  -1.9608e+005   7.1615e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0042e+006  -7.7019e+005   4.6037e+005  -2.5130e+005
 6    37    8.7638  -1.9608e+005   7.1615e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0042e+006  -7.7019e+005   4.6037e+005  -2.5130e+005
 6    38    8.7572  -1.9648e+005   7.1683e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0061e+006  -7.7010e+005   4.6065e+005  -2.5170e+005
 6    39    8.7475  -1.9708e+005   7.1784e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0090e+006  -7.6997e+005   4.6106e+005  -2.5230e+005
 6    40    8.7475  -1.9708e+005   7.1784e+005   0.0000e+000   0.0000e+000   0.0000e+000   0.0000e+000   1.0090e+006  -7.6997e+005   4.6106e+005  -2.5230e+005
 7    41    5.2509  -2.9790e+005   6.5056e+005   4.4294e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4930e+006  -7.3223e+005   5.2395e+005  -3.5313e+005
 7    42    5.2509  -2.9790e+005   6.5056e+005   4.4294e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4930e+006  -7.3223e+005   5.2395e+005  -3.5313e+005
 7    43    5.2509  -2.9790e+005   6.5056e+005   4.4294e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4930e+006  -7.3223e+005   5.2395e+005  -3.5313e+005
 7    44    5.2509  -2.9790e+005   6.5056e+005   4.4294e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.4930e+006  -7.3223e+005   5.2395e+005  -3.5313e+005
 7    45    5.0939  -1.7944e+005   3.9329e+005   5.4974e+005   0.0000e+000   0.0000e+000   0.0000e+000   9.2432e+005  -6.4920e+005   4.9194e+005  -2.3466e+005
 7    46    4.4255  -1.8025e+005   3.0444e+005   7.1800e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0088e+006  -6.8231e+005   5.7054e+005  -2.3548e+005
 7    47    4.4255  -1.8025e+005   3.0444e+005   7.1800e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0088e+006  -6.8231e+005   5.7054e+005  -2.3548e+005
 7    48    4.4255  -1.8025e+005   3.0444e+005   7.1800e+005   0.0000e+000   0.0000e+000   0.0000e+000   1.0088e+006  -6.8231e+005   5.7054e+005  -2.3548e+005
