土层编号	厚度	c	phi	K0	Es	m	重度	土性
1		1.9	23	18.5	0.49	2.12	1.50 	18	杂填土
2		1.3	20	17.5	0.49	4.62	2.50 	18.2	粉质黏土
3		0.8	12	19.5	0.49	3.75	1.50 	17.5	淤泥质粉质黏土
4		2.5	6	29	0.39	10.7	3.00 	18.6	砂质粉土
5		1.5	12	19.5	0.49	3.75	1.50 	17.5	淤泥质粉质黏土
6		9	14	12	0.55	2.88	1.50 	16.7	淤泥质粘土
7		6.5	16	17	0.53	4.11	2.00 	18	粉质黏土
8		4.8	46	16	0.46	6.86	5.00 	19.5	粉质黏土
9		7.7	2	31.5	0.37	10.5	7.00 	18.5	砂质粉土
10		30	0	33	0.35	12.6	8.00 	18.8	粉砂
